#       sim_time             PVI       water_cut    oil_recovery     cumulateoil
   1.7739214e+04   2.2812487e-01   0.0000000e+00   1.0000000e+00   2.0531498e-01
   1.8063341e+04   2.3229311e-01   0.0000000e+00   1.0000000e+00   2.0906645e-01
   1.8338849e+04   2.3583612e-01   0.0000000e+00   1.0000000e+00   2.1225520e-01
   1.8576127e+04   2.3888750e-01   0.0000000e+00   1.0000000e+00   2.1500147e-01
   1.8777814e+04   2.4148117e-01   0.0000000e+00   1.0000000e+00   2.1733581e-01
   1.8977699e+04   2.4405168e-01   0.0000000e+00   1.0000000e+00   2.1964930e-01
   1.9181862e+04   2.4667720e-01   0.0000000e+00   1.0000000e+00   2.2201229e-01
   1.9402151e+04   2.4951010e-01   0.0000000e+00   1.0000000e+00   2.2456194e-01
   1.9602237e+04   2.5208318e-01   0.0000000e+00   1.0000000e+00   2.2687774e-01
   1.9772309e+04   2.5427031e-01   0.0000000e+00   1.0000000e+00   2.2884618e-01
   1.9916871e+04   2.5612936e-01   0.0000000e+00   1.0000000e+00   2.3051934e-01
   2.0083117e+04   2.5826727e-01   0.0000000e+00   1.0000000e+00   2.3244349e-01
   2.0274300e+04   2.6072587e-01   0.0000000e+00   1.0000000e+00   2.3465625e-01
   2.0494160e+04   2.6355325e-01   3.0699783e-08   9.9999997e-01   2.3720093e-01
   2.0747000e+04   2.6680475e-01   6.3374205e-08   9.9999994e-01   2.4012732e-01
   2.0986049e+04   2.6987890e-01   1.1660591e-07   9.9999988e-01   2.4289409e-01
   2.1189241e+04   2.7249193e-01   1.7764334e-07   9.9999982e-01   2.4524584e-01
   2.1422911e+04   2.7549691e-01   2.6338856e-07   9.9999974e-01   2.4795036e-01
   2.1691632e+04   2.7895264e-01   3.7622864e-07   9.9999962e-01   2.5106056e-01
   2.1977680e+04   2.8263119e-01   5.0991583e-07   9.9999949e-01   2.5437129e-01
   2.2220820e+04   2.8575795e-01   6.9925148e-07   9.9999930e-01   2.5718542e-01
   2.2494453e+04   2.8927686e-01   9.9807834e-07   9.9999900e-01   2.6035247e-01
   2.2733394e+04   2.9234962e-01   1.3913584e-06   9.9999861e-01   2.6311799e-01
   2.2995842e+04   2.9572468e-01   1.8688132e-06   9.9999813e-01   2.6615558e-01
   2.3218923e+04   2.9859348e-01   2.5175238e-06   9.9999748e-01   2.6873754e-01
   2.3461480e+04   3.0171275e-01   3.2960509e-06   9.9999670e-01   2.7154491e-01
   2.3699940e+04   3.0477932e-01   4.2087022e-06   9.9999579e-01   2.7430486e-01
   2.3922093e+04   3.0763619e-01   5.2401745e-06   9.9999476e-01   2.7687608e-01
   2.4177569e+04   3.1092159e-01   6.4163026e-06   9.9999358e-01   2.7983298e-01
   2.4396271e+04   3.1373407e-01   7.6829635e-06   9.9999232e-01   2.8236425e-01
   2.4642518e+04   3.1690079e-01   9.2270366e-06   9.9999077e-01   2.8521433e-01
   2.4925702e+04   3.2054252e-01   1.1329348e-05   9.9998867e-01   2.8849192e-01
   2.5188304e+04   3.2391956e-01   1.3973040e-05   9.9998603e-01   2.9153130e-01
   2.5411516e+04   3.2679005e-01   1.7587154e-05   9.9998241e-01   2.9411478e-01
   2.5601247e+04   3.2922997e-01   2.1134031e-05   9.9997887e-01   2.9631073e-01
   2.5762517e+04   3.3130390e-01   2.5110867e-05   9.9997489e-01   2.9817729e-01
   2.5899597e+04   3.3306674e-01   2.9939824e-05   9.9997006e-01   2.9976386e-01
   2.6051976e+04   3.3502631e-01   3.5659488e-05   9.9996434e-01   3.0152750e-01
   2.6206072e+04   3.3700797e-01   4.2910322e-05   9.9995709e-01   3.0331102e-01
   2.6383282e+04   3.3928688e-01   5.0876335e-05   9.9994912e-01   3.0536206e-01
   2.6573954e+04   3.4173890e-01   6.0462837e-05   9.9993954e-01   3.0756891e-01
   2.6746503e+04   3.4395787e-01   7.1969635e-05   9.9992803e-01   3.0956601e-01
   2.6944934e+04   3.4650968e-01   8.6162453e-05   9.9991384e-01   3.1186267e-01
   2.7113601e+04   3.4867873e-01   1.0500229e-04   9.9989500e-01   3.1381483e-01
   2.7307568e+04   3.5117312e-01   1.2709153e-04   9.9987291e-01   3.1605982e-01
   2.7472440e+04   3.5329336e-01   1.5106420e-04   9.9984894e-01   3.1796805e-01
   2.7662042e+04   3.5573164e-01   1.7779521e-04   9.9982220e-01   3.2016253e-01
   2.7880085e+04   3.5853565e-01   2.0824843e-04   9.9979175e-01   3.2268617e-01
   2.8065422e+04   3.6091906e-01   2.4158806e-04   9.9975841e-01   3.2483127e-01
   2.8278559e+04   3.6365999e-01   2.8079830e-04   9.9971920e-01   3.2729813e-01
   2.8509945e+04   3.6663560e-01   3.2305248e-04   9.9967695e-01   3.2997622e-01
   2.8736744e+04   3.6955222e-01   3.6882357e-04   9.9963118e-01   3.3260120e-01
   2.8997563e+04   3.7290633e-01   4.2189851e-04   9.9957810e-01   3.3561994e-01
   2.9278096e+04   3.7651396e-01   4.8578861e-04   9.9951421e-01   3.3886684e-01
   2.9516549e+04   3.7958045e-01   5.5801242e-04   9.9944199e-01   3.4162671e-01
   2.9719234e+04   3.8218696e-01   6.2387389e-04   9.9937613e-01   3.4397260e-01
   2.9891517e+04   3.8440250e-01   7.0010626e-04   9.9929989e-01   3.4596660e-01
   3.0089641e+04   3.8695036e-01   7.8306556e-04   9.9921693e-01   3.4825971e-01
   3.0317485e+04   3.8988041e-01   8.7777599e-04   9.9912222e-01   3.5089677e-01
   3.0579505e+04   3.9324997e-01   9.8894408e-04   9.9901106e-01   3.5392940e-01
   3.0822426e+04   3.9637392e-01   1.1198954e-03   9.9888010e-01   3.5674097e-01
   3.1101786e+04   3.9996646e-01   1.2759820e-03   9.9872402e-01   3.5997428e-01
   3.1339242e+04   4.0302012e-01   1.4839796e-03   9.9851602e-01   3.6272259e-01
   3.1609638e+04   4.0649740e-01   1.7718758e-03   9.9822812e-01   3.6585215e-01
   3.1850698e+04   4.0959742e-01   2.1868075e-03   9.9781319e-01   3.6864215e-01
   3.2127917e+04   4.1316243e-01   2.6019357e-03   9.9739806e-01   3.7185063e-01
   3.2363553e+04   4.1619269e-01   3.0393881e-03   9.9696061e-01   3.7457782e-01
   3.2634535e+04   4.1967749e-01   3.6102065e-03   9.9638979e-01   3.7771404e-01
   3.2893179e+04   4.2300363e-01   4.2666457e-03   9.9573335e-01   3.8070742e-01
   3.3190619e+04   4.2682869e-01   5.0600792e-03   9.9493992e-01   3.8414972e-01
   3.3469833e+04   4.3041935e-01   6.0910605e-03   9.9390894e-01   3.8738095e-01
   3.3707165e+04   4.3347142e-01   7.3038574e-03   9.9269614e-01   3.9012733e-01
   3.3980096e+04   4.3698130e-01   9.0077699e-03   9.9099223e-01   3.9328540e-01
   3.4245657e+04   4.4039639e-01   1.1175510e-02   9.8882449e-01   3.9635773e-01
   3.4551051e+04   4.4432373e-01   1.3983717e-02   9.8601628e-01   3.9989002e-01
   3.4810636e+04   4.4766198e-01   1.7102493e-02   9.8289751e-01   4.0289115e-01
   3.5109159e+04   4.5150096e-01   2.1294224e-02   9.7870578e-01   4.0634024e-01
   3.5417905e+04   4.5547141e-01   2.6472076e-02   9.7352792e-01   4.0990342e-01
   3.5718714e+04   4.5933978e-01   4.4028445e-02   9.5597155e-01   4.1336872e-01
   3.5974401e+04   4.6262790e-01   4.9138654e-02   9.5086135e-01   4.1629429e-01
   3.6268442e+04   4.6640924e-01   5.5269232e-02   9.4473077e-01   4.1964858e-01
   3.6605056e+04   4.7073807e-01   6.2458415e-02   9.3754158e-01   4.2347207e-01
   3.6893868e+04   4.7445217e-01   6.8624822e-02   9.3137518e-01   4.2673324e-01
   3.7226002e+04   4.7872338e-01   7.8046812e-02   9.2195319e-01   4.3046225e-01
   3.7508315e+04   4.8235391e-01   8.5329375e-02   9.1467063e-01   4.3360116e-01
   3.7832976e+04   4.8652902e-01   9.2135975e-02   9.0786403e-01   4.3718097e-01
   3.8166186e+04   4.9081408e-01   9.8162273e-02   9.0183773e-01   4.4082523e-01
   3.8461838e+04   4.9461613e-01   1.0329276e-01   8.9670724e-01   4.4403452e-01
   3.8801837e+04   4.9898850e-01   1.0869055e-01   8.9130945e-01   4.4770031e-01
   3.9090837e+04   5.0270501e-01   1.1297999e-01   8.8702001e-01   4.5079283e-01
   3.9401097e+04   5.0669493e-01   1.1723139e-01   8.8276861e-01   4.5409204e-01
   3.9684482e+04   5.1033924e-01   1.2081578e-01   8.7918422e-01   4.5708575e-01
   3.9925359e+04   5.1343690e-01   1.2366382e-01   8.7633618e-01   4.5961594e-01
   4.0130105e+04   5.1606991e-01   1.2597550e-01   8.7402450e-01   4.6175678e-01
   4.0309117e+04   5.1837199e-01   1.2790917e-01   8.7209083e-01   4.6362165e-01
   4.0497764e+04   5.2079798e-01   1.2981922e-01   8.7018078e-01   4.6558089e-01
   4.0714709e+04   5.2358788e-01   1.3181715e-01   8.6818285e-01   4.6782719e-01
   4.0953404e+04   5.2665748e-01   1.3384113e-01   8.6615887e-01   4.7029074e-01
   4.1156295e+04   5.2926664e-01   1.3551807e-01   8.6448193e-01   4.7237794e-01
   4.1389620e+04   5.3226718e-01   1.3737401e-01   8.6262599e-01   4.7477192e-01
   4.1604221e+04   5.3502693e-01   1.3901520e-01   8.6098480e-01   4.7696742e-01
   4.1816430e+04   5.3775592e-01   1.4058341e-01   8.5941659e-01   4.7913307e-01
   4.1996808e+04   5.4007557e-01   1.4192321e-01   8.5807679e-01   4.8096950e-01
   4.2170223e+04   5.4230568e-01   1.4310320e-01   8.5689680e-01   4.8273166e-01
   4.2369651e+04   5.4487030e-01   1.4439138e-01   8.5560862e-01   4.8475457e-01
   4.2575916e+04   5.4752285e-01   1.4571224e-01   8.5428776e-01   4.8684289e-01
   4.2764333e+04   5.4994587e-01   1.4697801e-01   8.5302199e-01   4.8874681e-01
   4.2981012e+04   5.5273235e-01   1.4838892e-01   8.5161108e-01   4.9093243e-01
   4.3200405e+04   5.5555373e-01   1.4981426e-01   8.5018574e-01   4.9314108e-01
   4.3412462e+04   5.5828077e-01   1.5117724e-01   8.4882276e-01   4.9527158e-01
   4.3632026e+04   5.6110434e-01   1.5254845e-01   8.4745155e-01   4.9747322e-01
   4.3874355e+04   5.6422067e-01   1.5395800e-01   8.4604200e-01   4.9989826e-01
   4.4123942e+04   5.6743034e-01   1.5546994e-01   8.4453006e-01   5.0239049e-01
   4.4410967e+04   5.7112146e-01   1.5702188e-01   8.4297812e-01   5.0525018e-01
   4.4678958e+04   5.7456780e-01   1.5838795e-01   8.4161205e-01   5.0791339e-01
   4.4940763e+04   5.7793460e-01   1.5969372e-01   8.4030628e-01   5.1050920e-01
   4.5163298e+04   5.8079637e-01   1.6083035e-01   8.3916965e-01   5.1271074e-01
   4.5419213e+04   5.8408742e-01   1.6190883e-01   8.3809117e-01   5.1523759e-01
   4.5704232e+04   5.8775274e-01   1.6297916e-01   8.3702084e-01   5.1804630e-01
   4.6027200e+04   5.9190608e-01   1.6410307e-01   8.3589693e-01   5.2122258e-01
   4.6324037e+04   5.9572339e-01   1.6514291e-01   8.3485709e-01   5.2413558e-01
   4.6660488e+04   6.0005012e-01   1.6628246e-01   8.3371754e-01   5.2743092e-01
   4.7006915e+04   6.0450513e-01   1.6741550e-01   8.3258450e-01   5.3081669e-01
   4.7354806e+04   6.0897899e-01   1.6851328e-01   8.3148672e-01   5.3420967e-01
   4.7736305e+04   6.1388504e-01   1.6965289e-01   8.3034711e-01   5.3792253e-01
   4.8127902e+04   6.1892094e-01   1.7080079e-01   8.2919921e-01   5.4172534e-01
   4.8510740e+04   6.2384421e-01   1.7193024e-01   8.2806976e-01   5.4543487e-01
   4.8928703e+04   6.2921918e-01   1.7317874e-01   8.2682126e-01   5.4947611e-01
   4.9386500e+04   6.3510641e-01   1.7460819e-01   8.2539181e-01   5.5389264e-01
   4.9797817e+04   6.4039591e-01   1.7600852e-01   8.2399148e-01   5.5785102e-01
   5.0215290e+04   6.4576458e-01   1.7752347e-01   8.2247653e-01   5.6185955e-01
   5.0684554e+04   6.5179929e-01   1.7930389e-01   8.2069611e-01   5.6635481e-01
   5.1130188e+04   6.5753010e-01   1.8094306e-01   8.1905694e-01   5.7061171e-01
   5.1642667e+04   6.6412054e-01   1.8274442e-01   8.1725558e-01   5.7549397e-01
   5.2144514e+04   6.7057424e-01   1.8446301e-01   8.1553699e-01   5.8025953e-01
   5.2625832e+04   6.7676396e-01   1.8604711e-01   8.1395289e-01   5.8481482e-01
   5.3148446e+04   6.8348473e-01   1.8790204e-01   8.1209796e-01   5.8974456e-01
   5.3667918e+04   6.9016510e-01   1.8981041e-01   8.1018959e-01   5.9462510e-01
   5.4265310e+04   6.9784751e-01   1.9183090e-01   8.0816910e-01   6.0021354e-01
   5.4903676e+04   7.0605685e-01   1.9369587e-01   8.0630413e-01   6.0615577e-01
   5.5600957e+04   7.1502382e-01   1.9455216e-01   8.0544784e-01   6.1261460e-01
   5.6325927e+04   7.2434689e-01   1.9597391e-01   8.0402609e-01   6.1930761e-01
   5.7081403e+04   7.3406224e-01   1.9747850e-01   8.0252150e-01   6.2625049e-01
   5.7873859e+04   7.4425316e-01   1.9851463e-01   8.0148537e-01   6.3349595e-01
   5.8635989e+04   7.5405410e-01   1.9150587e-01   8.0849413e-01   6.4041934e-01
   5.9499756e+04   7.6516207e-01   1.8970157e-01   8.1029843e-01   6.4835608e-01
